country,alcohol_type,servings
Russian Federation,spirit_servings,326
Russian Federation,spirit_servings,326
Russian Federation,spirit_servings,326
Russian Federation,spirit_servings,326
Russian Federation,spirit_servings,326
Russian Federation,spirit_servings,326
Russian Federation,spirit_servings,326
Russian Federation,spirit_servings,326
Russian Federation,spirit_servings,326
Russian Federation,spirit_servings,326
Russian Federation,spirit_servings,326
Russian Federation,spirit_servings,326
Russian Federation,spirit_servings,326
Russian Federation,spirit_servings,326
Russian Federation,spirit_servings,326
Russian Federation,spirit_servings,326
Russian Federation,spirit_servings,326
Russian Federation,spirit_servings,326
Russian Federation,spirit_servings,326
Rwanda,spirit_servings,2
Rwanda,spirit_servings,2
Rwanda,spirit_servings,2
Rwanda,spirit_servings,2
Rwanda,spirit_servings,2
Rwanda,spirit_servings,2
Rwanda,spirit_servings,2
Rwanda,spirit_servings,2
Rwanda,spirit_servings,2
Rwanda,spirit_servings,2
Rwanda,spirit_servings,2
Rwanda,spirit_servings,2
Rwanda,spirit_servings,2
Rwanda,spirit_servings,2
Rwanda,spirit_servings,2
Rwanda,spirit_servings,2
Rwanda,spirit_servings,2
Rwanda,spirit_servings,2
Rwanda,spirit_servings,2
Rwanda,spirit_servings,2
Rwanda,spirit_servings,2
St. Kitts & Nevis,spirit_servings,205
St. Lucia,spirit_servings,315
St. Lucia,spirit_servings,315
St. Lucia,spirit_servings,315
St. Lucia,spirit_servings,315
St. Lucia,spirit_servings,315
St. Lucia,spirit_servings,315
St. Lucia,spirit_servings,315
St. Lucia,spirit_servings,315
St. Lucia,spirit_servings,315
St. Lucia,spirit_servings,315
St. Lucia,spirit_servings,315
St. Lucia,spirit_servings,315
St. Lucia,spirit_servings,315
St. Lucia,spirit_servings,315
St. Lucia,spirit_servings,315
St. Lucia,spirit_servings,315
St. Lucia,spirit_servings,315
St. Lucia,spirit_servings,315
St. Lucia,spirit_servings,315
St. Lucia,spirit_servings,315
St. Lucia,spirit_servings,315
St. Vincent & the Grenadines,spirit_servings,221
Samoa,spirit_servings,18
Samoa,spirit_servings,18
Samoa,spirit_servings,18
Samoa,spirit_servings,18
Samoa,spirit_servings,18
Samoa,spirit_servings,18
Samoa,spirit_servings,18
Samoa,spirit_servings,18
Samoa,spirit_servings,18
Samoa,spirit_servings,18
Samoa,spirit_servings,18
Samoa,spirit_servings,18
Samoa,spirit_servings,18
Samoa,spirit_servings,18
Samoa,spirit_servings,18
Samoa,spirit_servings,18
Samoa,spirit_servings,18
Samoa,spirit_servings,18
Samoa,spirit_servings,18
Samoa,spirit_servings,18
Samoa,spirit_servings,18
San Marino,spirit_servings,0
San Marino,spirit_servings,0
San Marino,spirit_servings,0
San Marino,spirit_servings,0
San Marino,spirit_servings,0
San Marino,spirit_servings,0
San Marino,spirit_servings,0
San Marino,spirit_servings,0
San Marino,spirit_servings,0
San Marino,spirit_servings,0
San Marino,spirit_servings,0
San Marino,spirit_servings,0
San Marino,spirit_servings,0
San Marino,spirit_servings,0
San Marino,spirit_servings,0
San Marino,spirit_servings,0
San Marino,spirit_servings,0
San Marino,spirit_servings,0
San Marino,spirit_servings,0
San Marino,spirit_servings,0
San Marino,spirit_servings,0
Sao Tome & Principe,spirit_servings,38
Saudi Arabia,spirit_servings,5
Saudi Arabia,spirit_servings,5
Saudi Arabia,spirit_servings,5
Saudi Arabia,spirit_servings,5
Saudi Arabia,spirit_servings,5
Saudi Arabia,spirit_servings,5
Saudi Arabia,spirit_servings,5
Saudi Arabia,spirit_servings,5
Saudi Arabia,spirit_servings,5
Saudi Arabia,spirit_servings,5
Saudi Arabia,spirit_servings,5
Saudi Arabia,spirit_servings,5
Saudi Arabia,spirit_servings,5
Saudi Arabia,spirit_servings,5
Saudi Arabia,spirit_servings,5
Saudi Arabia,spirit_servings,5
Saudi Arabia,spirit_servings,5
Saudi Arabia,spirit_servings,5
Saudi Arabia,spirit_servings,5
Saudi Arabia,spirit_servings,5
Saudi Arabia,spirit_servings,5
Senegal,spirit_servings,1
Senegal,spirit_servings,1
Senegal,spirit_servings,1
Senegal,spirit_servings,1
Senegal,spirit_servings,1
Senegal,spirit_servings,1
Senegal,spirit_servings,1
Senegal,spirit_servings,1
Senegal,spirit_servings,1
Senegal,spirit_servings,1
Senegal,spirit_servings,1
Senegal,spirit_servings,1
Senegal,spirit_servings,1
Senegal,spirit_servings,1
Senegal,spirit_servings,1
Senegal,spirit_servings,1
Senegal,spirit_servings,1
Senegal,spirit_servings,1
Senegal,spirit_servings,1
Senegal,spirit_servings,1
Senegal,spirit_servings,1
Serbia,spirit_servings,131
Serbia,spirit_servings,131
Serbia,spirit_servings,131
Serbia,spirit_servings,131
Serbia,spirit_servings,131
Serbia,spirit_servings,131
Serbia,spirit_servings,131
Serbia,spirit_servings,131
Serbia,spirit_servings,131
Serbia,spirit_servings,131
Serbia,spirit_servings,131
Serbia,spirit_servings,131
Serbia,spirit_servings,131
Serbia,spirit_servings,131
Serbia,spirit_servings,131
Serbia,spirit_servings,131
Serbia,spirit_servings,131
Serbia,spirit_servings,131
Serbia,spirit_servings,131
Serbia,spirit_servings,131
Serbia,spirit_servings,131
Seychelles,spirit_servings,25
Seychelles,spirit_servings,25
Seychelles,spirit_servings,25
Seychelles,spirit_servings,25
Seychelles,spirit_servings,25
Seychelles,spirit_servings,25
Seychelles,spirit_servings,25
Seychelles,spirit_servings,25
Seychelles,spirit_servings,25
Seychelles,spirit_servings,25
Seychelles,spirit_servings,25
